City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
307,ventspils,0,LV,1565244640,100,57.39,21.56,57.2,1.12
308,kichera,77,RU,1565244640,33,55.93,110.1,73.36,6.04
309,guthrie,1,US,1565244641,78,35.88,-97.43,90.0,3.36
310,boyolangu,62,ID,1565244641,56,-8.09,111.9,81.1,8.95
311,urucara,30,BR,1565244642,82,-2.54,-57.76,73.0,2.51
312,irbeyskoye,71,RU,1565244642,46,55.64,95.45,79.48,3.0
313,souillac,0,FR,1565244642,88,45.6,-0.6,68.0,3.36
314,christchurch,37,NZ,1565244643,43,-43.53,172.64,55.4,3.36
315,san patricio,45,PY,1565244643,71,-26.98,-56.83,70.12,7.58
316,vanavara,1,RU,1565244643,26,60.35,102.28,85.06,7.7
317,pandan,100,PH,1565244643,75,11.72,122.09,84.16,29.75
318,balassagyarmat,40,HU,1565244644,88,48.08,19.29,72.0,4.7
319,aksu,0,KZ,1565244601,24,52.04,76.93,78.8,11.18
320,lata,98,IN,1565244644,74,30.78,78.62,56.08,8.7
321,taree,15,AU,1565244644,24,-31.91,152.46,71.6,17.22
322,vestmannaeyjar,2,IS,1565244645,75,63.44,-20.27,47.8,13.38
323,norman wells,40,CA,1565244645,81,65.28,-126.83,44.6,4.7
324,laguna,75,BZ,1565244645,94,16.17,-88.94,78.8,1.14
325,muros,75,ES,1565244646,100,42.77,-9.06,71.01,11.41
326,alta floresta,61,BR,1565244646,47,-9.87,-56.08,69.22,3.67
327,aklavik,90,CA,1565244646,81,68.22,-135.01,42.8,5.82
328,kavieng,0,PG,1565244647,74,-2.57,150.8,83.08,11.25
329,quesnel,1,CA,1565244387,82,52.98,-122.49,64.4,2.06
330,narimanov,0,RU,1565244647,27,46.69,47.85,78.8,6.71
331,tabuk,100,PH,1565244647,78,17.41,121.44,75.34,6.87
332,emba,0,CY,1565244648,55,34.81,32.42,86.0,4.7
333,shingu,75,JP,1565244648,79,33.72,135.99,84.2,9.17
334,bol,43,TD,1565244648,81,13.47,14.72,78.4,19.17
335,marrakesh,0,MA,1565244649,47,31.63,-7.99,77.0,3.36
